,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
0,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
1,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
2,"EBook 11.6"" HD Laptop",10990.0,,EBOOK,4GB,4.0,4GB,Windows 11,Black,56.0,11.6
3,HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge,27990.0,Intel Celeron,HP,4GB,3.9,4GB,,,13.0,35.6
4,JioBook 11 with Lifetime Office,10990.0,Mediatek,JIOBOOK,4GB,2.9,4GB,,Blue,56.0,
5,HP 15,41990.0,Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,20.0,15.6
6,HP 15,,AMD Ryzen 3 7320U,HP,8GB,4.0,512GB,Windows 11,Silver,,15.6
7,"BrowseBook 14.1"" FHD IPS Laptop",12990.0,,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,57.0,14.1
8,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),17990.0,Intel Celeron,THOMSON,8GB,4.5,256GB,Windows 11,Silver,36.0,
9,Lenovo Smartchoice Ideapad Slim 3,75990.0,Intel Core i7,LENOVO,16GB,4.2,512GB,Windows 11,Grey,15.0,15.3
10,Dell 15,39990.0,,DELL,8GB,4.0,512GB,Windows 11,Black,16.0,15.6
11,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
12,Ienovo ThinkPad L14,25995.0,,IENOVO,8GB,,256GB,Windows 10,,63.0,
13,HP 15 Laptop,49990.0,AMD Ryzen 7 5825U,HP,16GB,3.9,512GB,Windows 11,Silver,17.0,11.0
14,ASUS Vivobook Go 14,34790.0,AMD Ryzen 3 7320U,ASUS,8GB,4.1,512GB,Windows 11,Black,21.0,14.0
15,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display",,Intel Celeron,HP,,3.4,512GB,Windows 11,Black,,14.0
16,ASUS TUF A15 (2025),66990.0,AMD Ryzen 7 7445HS,ASUS,16GB,4.2,512GB,Windows 11,Graphite,20.0,15.6
17,HP 15 Consumer Series Laptop,41800.0,Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,22.0,15.6
18,"Lenovo V14 Intel Core i5 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey/1.43 kg)",53790.0,Intel Core i5,LENOVO,16GB,3.8,512GB,Windows 11,Grey,40.0,14.0
19,ASUS Vivobook 15,36990.0,Intel Core i3-1315U,ASUS,8GB,4.2,512GB,Windows 11,Silver,27.0,15.6
20,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
21,MSI Katana A17 AI,115990.0,,MSI,,4.5,1TB,Windows 11,Black,11.0,44.0
22,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
23,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
