,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
56,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,"18,990",Intel Pentium,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,(53% off),N/A
57,Dell 15,"44,326",N/A,DELL,16GB,3.9,512GB,Windows 11,Black,(16% off),15.6
58,HP Omen,"1,64,490",Intel Core i9-14900HX,HP,24GB,3.6,1TB,Windows 11,Black,(14% off),16
59,HP 14,"84,790",N/A,HP,24GB,3.0,1TB,Windows 11,Silver,(4% off),14
60,HP Victus,"80,490",Intel Core i5-14450HX,HP,24GB,3.9,512GB,Windows 11,Silver,(20% off),15.6
61,HP Smartchoice Victus,"1,05,990",Intel Core i7-13620H,HP,24GB,4.0,1TB,Windows 11,Silver,(15% off),15.6
62,ASUS Zenbook 14,"1,14,990",N/A,ASUS,N/A,4.1,32GB,Windows 11,Blue,(28% off),14
63,HP Professional 14 (2025),"43,950",Intel Core i3,HP,N/A,5.0,512GB,Windows 11,Silver,(21% off),14.0
64,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),"99,990",AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,(25% off),35.5
65,ASUS Vivobook S14,"65,990",AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,(30% off),14
66,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
67,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
68,ASUS Vivobook 15,"63,990",Intel Core i7,ASUS,16GB,4.0,512GB,Windows 11,Blue,(26% off),15.6
69,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),"99,990",AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,(25% off),35.5
70,Lenovo 14 (2025),"53,560",Intel Core i5,LENOVO,N/A,4.0,512GB,Windows 11,Grey,(46% off),14.0
71,ASUS TUF A16 (2025),"89,990",AMD Ryzen 7 7445HS,ASUS,16GB,4.1,1TB,Windows 11,Gray,(22% off),16
72,acer SmartChoice ALG,"62,990",Intel Core i5-13420H,ACER,6GB,4.0,512GB,Windows 11,Gray,(16% off),15.6
73,HP Omnibook 5 OLED (Previously Pavilion),"69,990",N/A,HP,16GB,4.1,1TB,Windows 11,Silver,(19% off),16
74,HP Omen,"1,69,990",AMD Ryzen 9 8940HX,HP,24GB,4.2,1TB,Windows 11,Black,(14% off),16
75,HP OmniBook 7 OLED,"86,490",N/A,HP,16GB,3.7,1TB,Windows 11,Silver,(15% off),14
76,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
77,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
78,MSI Thin 15,"60,325",N/A,MSI,N/A,4.2,512GB,Windows 11,Gray,(27% off),40
79,Apple 2025 MacBook Pro Laptop with M5 chip,"1,64,490",N/A,APPLE,N/A,4.8,512GB,N/A,Space,(3% off),97
80,HP Victus,"69,999",AMD Ryzen 7 7445HS,HP,16GB,N/A,1TB,Windows 11,Blue,(15% off),15.6
81,acer Aspire Lite,"46,990",AMD Ryzen 7,ACER,16GB,4.0,512GB,Windows 11,Gray,(30% off),15.6
82,Lenovo Yoga Slim 7 (Smartchoice) Aura Edition,"99,927",N/A,LENOVO,16GB,4.0,1TB,Windows 11,Grey,(29% off),14
83,acer Nitro V 15,"76,990",AMD Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,(29% off),15.6
84,ASUS Vivobook 15 (2025),"37,990",Intel Core i3-1315U,ASUS,8GB,5.0,512GB,Windows 11,Silver,(25% off),15.6
85,ASUS Vivobook Go 15,"37,950",AMD Ryzen 3 7320U,ASUS,8GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
86,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),"99,990",AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,(25% off),35.5
87,ASUS Vivobook S14,"65,990",AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,(30% off),14
88,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
89,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
90,acer Nitro V 15,"76,990",AMD Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,(29% off),15.6
91,Lenovo Yoga Slim 7 (Smartchoice) Aura Edition,"99,927",N/A,LENOVO,16GB,4.0,1TB,Windows 11,Grey,(29% off),14
92,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),N/A,Intel Celeron,LENOVO,4GB,3.9,4GB,N/A,Blue,N/A,46
93,ASUS Vivobook S14,"65,990",AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,(30% off),14
94,Dell 15,"56,990",Intel Core i5,DELL,16GB,3.7,512GB,Windows 11,Grey,(21% off),15.6
95,HP Victus,"1,19,490",Intel Core i7-13620H,HP,24GB,4.2,1TB,Windows 11,Silver,(12% off),15.6
96,ASUS Gaming V16,"1,09,990",N/A,ASUS,16GB,4.1,512GB,Windows 11,Black,(27% off),16
97,STRIFF Laptop Tabletop Stand,199,N/A,STRIFF,N/A,4.2,N/A,N/A,Black,(87% off),N/A
